date,sku,opening_stock,received_units,units,closing_stock
2024-09-14,85123A,206,0,7,199
2024-09-15,85123A,199,0,7,192
2024-09-16,85123A,192,0,7,185
2024-09-17,85123A,185,0,7,178
2024-09-18,85123A,178,0,7,171
2024-09-19,85123A,171,0,6,165
2024-09-20,85123A,165,0,6,159
2024-09-21,85123A,159,0,9,150
2024-09-22,85123A,150,0,7,143
2024-09-23,85123A,143,0,5,138
2024-09-24,85123A,138,0,6,132
2024-09-25,85123A,132,0,6,126
2024-09-26,85123A,126,0,8,118
2024-09-27,85123A,118,0,7,111
2024-09-28,85123A,111,0,8,103
2024-09-29,85123A,103,0,8,95
2024-09-30,85123A,95,0,6,89
2024-10-01,85123A,89,0,6,83
2024-10-02,85123A,83,0,6,77
2024-10-03,85123A,77,0,6,71
2024-10-04,85123A,71,0,7,64
2024-10-05,85123A,64,0,7,57
2024-10-06,85123A,57,0,8,49
2024-10-07,85123A,49,0,7,42
2024-10-08,85123A,42,112,7,147
2024-10-09,85123A,147,0,7,140
2024-10-10,85123A,140,0,7,133
2024-10-11,85123A,133,0,7,126
2024-10-12,85123A,126,0,9,117
2024-10-13,85123A,117,0,9,108
2024-10-14,85123A,108,0,5,103
2024-10-15,85123A,103,0,8,95
2024-10-16,85123A,95,0,8,87
2024-10-17,85123A,87,0,7,80
2024-10-18,85123A,80,0,8,72
2024-10-19,85123A,72,0,8,64
2024-10-20,85123A,64,0,9,55
2024-10-21,85123A,55,0,7,48
2024-10-22,85123A,48,0,6,42
2024-10-23,85123A,42,107,6,143
2024-10-24,85123A,143,0,7,136
2024-10-25,85123A,136,0,8,128
2024-10-26,85123A,128,0,9,119
2024-10-27,85123A,119,0,8,111
2024-10-28,85123A,111,0,6,105
2024-10-29,85123A,105,0,7,98
2024-10-30,85123A,98,0,7,91
2024-10-31,85123A,91,0,6,85
2024-11-01,85123A,85,0,7,78
2024-11-02,85123A,78,0,10,68
2024-11-03,85123A,68,0,9,59
2024-11-04,85123A,59,0,6,53
2024-11-05,85123A,53,0,5,48
2024-11-06,85123A,48,0,6,42
2024-11-07,85123A,42,115,8,149
2024-11-08,85123A,149,0,9,140
2024-11-09,85123A,140,0,8,132
2024-11-10,85123A,132,0,9,123
2024-11-11,85123A,123,0,7,116
2024-11-12,85123A,116,0,7,109
2024-11-13,85123A,109,0,8,101
2024-11-14,85123A,101,0,8,93
2024-11-15,85123A,93,0,8,85
2024-11-16,85123A,85,0,9,76
2024-11-17,85123A,76,0,9,67
2024-11-18,85123A,67,0,6,61
2024-11-19,85123A,61,0,7,54
2024-11-20,85123A,54,0,6,48
2024-11-21,85123A,48,0,8,40
2024-11-22,85123A,40,116,9,147
2024-11-23,85123A,147,0,9,138
2024-11-24,85123A,138,0,7,131
2024-11-25,85123A,131,0,8,123
2024-11-26,85123A,123,0,7,116
2024-11-27,85123A,116,0,8,108
2024-11-28,85123A,108,0,8,100
2024-11-29,85123A,100,0,7,93
2024-11-30,85123A,93,0,10,83
2024-12-01,85123A,83,0,8,75
2024-12-02,85123A,75,0,6,69
2024-12-03,85123A,69,0,7,62
2024-12-04,85123A,62,0,7,55
2024-12-05,85123A,55,0,7,48
2024-12-06,85123A,48,0,7,41
2024-12-07,85123A,41,117,9,149
2024-12-08,85123A,149,0,9,140
2024-12-09,85123A,140,0,8,132
2024-12-10,85123A,132,0,6,126
2024-12-11,85123A,126,0,8,118
2024-12-12,85123A,118,0,7,111
2024-12-13,85123A,111,0,8,103
2024-12-14,85123A,103,0,8,95
2024-12-15,85123A,95,0,8,87
2024-12-16,85123A,87,0,7,80
2024-12-17,85123A,80,0,8,72
2024-12-18,85123A,72,0,8,64
2024-12-19,85123A,64,0,7,57
2024-12-20,85123A,57,0,9,48
2024-12-21,85123A,48,112,9,151
2024-12-22,85123A,151,0,9,142
2024-12-23,85123A,142,0,7,135
2024-12-24,85123A,135,0,8,127
2024-12-25,85123A,127,0,9,118
2024-12-26,85123A,118,0,7,111
2024-12-27,85123A,111,0,9,102
2024-12-28,85123A,102,0,10,92
2024-12-29,85123A,92,0,10,82
2024-12-30,85123A,82,0,6,76
2024-12-31,85123A,76,0,7,69
2025-01-01,85123A,69,0,7,62
2025-01-02,85123A,62,0,7,55
2025-01-03,85123A,55,0,7,48
2025-01-04,85123A,48,109,9,148
2025-01-05,85123A,148,0,8,140
2025-01-06,85123A,140,0,7,133
2025-01-07,85123A,133,0,6,127
2025-01-08,85123A,127,0,7,120
2025-01-09,85123A,120,0,7,113
2025-01-10,85123A,113,0,8,105
2025-01-11,85123A,105,0,10,95
2025-01-12,85123A,95,0,9,86
2025-01-13,85123A,86,0,8,78
2025-01-14,85123A,78,0,8,70
2025-01-15,85123A,70,0,8,62
2025-01-16,85123A,62,0,6,56
2025-01-17,85123A,56,0,8,48
2025-01-18,85123A,48,110,9,149
2025-01-19,85123A,149,0,9,140
2025-01-20,85123A,140,0,6,134
2025-01-21,85123A,134,0,8,126
2025-01-22,85123A,126,0,7,119
2025-01-23,85123A,119,0,8,111
2025-01-24,85123A,111,0,8,103
2025-01-25,85123A,103,0,10,93
2025-01-26,85123A,93,0,9,84
2025-01-27,85123A,84,0,7,77
2025-01-28,85123A,77,0,6,71
2025-01-29,85123A,71,0,8,63
2025-01-30,85123A,63,0,7,56
2025-01-31,85123A,56,0,8,48
2025-02-01,85123A,48,112,10,150
2025-02-02,85123A,150,0,10,140
2025-02-03,85123A,140,0,7,133
2025-02-04,85123A,133,0,6,127
2025-02-05,85123A,127,0,8,119
2025-02-06,85123A,119,0,8,111
2025-02-07,85123A,111,0,7,104
2025-02-08,85123A,104,0,10,94
2025-02-09,85123A,94,0,8,86
2025-02-10,85123A,86,0,8,78
2025-02-11,85123A,78,0,7,71
2025-02-12,85123A,71,0,6,65
2025-02-13,85123A,65,0,9,56
2025-02-14,85123A,56,0,8,48
2025-02-15,85123A,48,107,9,146
2025-02-16,85123A,146,0,9,137
2025-02-17,85123A,137,0,6,131
2025-02-18,85123A,131,0,6,125
2025-02-19,85123A,125,0,8,117
2025-02-20,85123A,117,0,8,109
2025-02-21,85123A,109,0,8,101
2025-02-22,85123A,101,0,9,92
2025-02-23,85123A,92,0,8,84
2025-02-24,85123A,84,0,8,76
2025-02-25,85123A,76,0,6,70
2025-02-26,85123A,70,0,7,63
2025-02-27,85123A,63,0,7,56
2025-02-28,85123A,56,0,8,48
2025-03-01,85123A,48,109,10,147
2025-03-02,85123A,147,0,9,138
2025-03-03,85123A,138,0,7,131
2025-03-04,85123A,131,0,8,123
2025-03-05,85123A,123,0,6,117
2025-03-06,85123A,117,0,8,109
2025-03-07,85123A,109,0,7,102
2025-03-08,85123A,102,0,9,93
2025-03-09,85123A,93,0,8,85
2025-03-10,85123A,85,0,6,79
2025-03-11,85123A,79,0,7,72
2025-03-12,85123A,72,0,8,64
2025-03-13,85123A,64,0,9,55
2025-03-14,85123A,55,0,7,48
2025-03-15,85123A,48,0,8,40
2025-03-16,85123A,40,117,9,148
2025-03-17,85123A,148,0,7,141
2025-03-18,85123A,141,0,7,134
2025-03-19,85123A,134,0,8,126
2025-03-20,85123A,126,0,8,118
2025-03-21,85123A,118,0,9,109
2025-03-22,85123A,109,0,10,99
2025-03-23,85123A,99,0,8,91
2025-03-24,85123A,91,0,6,85
2025-03-25,85123A,85,0,7,78
2025-03-26,85123A,78,0,8,70
2025-03-27,85123A,70,0,7,63
2025-03-28,85123A,63,0,7,56
2025-03-29,85123A,56,0,8,48
2025-03-30,85123A,48,106,9,145
2025-03-31,85123A,145,0,7,138
2025-04-01,85123A,138,0,6,132
2025-04-02,85123A,132,0,7,125
2025-04-03,85123A,125,0,8,117
2025-04-04,85123A,117,0,8,109
2025-04-05,85123A,109,0,8,101
2025-04-06,85123A,101,0,9,92
2025-04-07,85123A,92,0,7,85
2025-04-08,85123A,85,0,6,79
2025-04-09,85123A,79,0,7,72
2025-04-10,85123A,72,0,7,65
2025-04-11,85123A,65,0,8,57
2025-04-12,85123A,57,0,9,48
2025-04-13,85123A,48,0,7,41
2025-04-14,85123A,41,109,7,143
2025-04-15,85123A,143,0,7,136
2025-04-16,85123A,136,0,8,128
2025-04-17,85123A,128,0,7,121
2025-04-18,85123A,121,0,7,114
2025-04-19,85123A,114,0,9,105
2025-04-20,85123A,105,0,8,97
2025-04-21,85123A,97,0,7,90
2025-04-22,85123A,90,0,7,83
2025-04-23,85123A,83,0,6,77
2025-04-24,85123A,77,0,6,71
2025-04-25,85123A,71,0,7,64
2025-04-26,85123A,64,0,9,55
2025-04-27,85123A,55,0,7,48
2025-04-28,85123A,48,0,6,42
2025-04-29,85123A,42,105,6,141
2025-04-30,85123A,141,0,6,135
2025-05-01,85123A,135,0,7,128
2025-05-02,85123A,128,0,7,121
2025-05-03,85123A,121,0,9,112
2025-05-04,85123A,112,0,8,104
2025-05-05,85123A,104,0,7,97
2025-05-06,85123A,97,0,6,91
2025-05-07,85123A,91,0,6,85
2025-05-08,85123A,85,0,7,78
2025-05-09,85123A,78,0,7,71
2025-05-10,85123A,71,0,8,63
2025-05-11,85123A,63,0,8,55
2025-05-12,85123A,55,0,7,48
2025-05-13,85123A,48,0,7,41
2025-05-14,85123A,41,109,7,143
2025-05-15,85123A,143,0,7,136
2025-05-16,85123A,136,0,7,129
2025-05-17,85123A,129,0,8,121
2025-05-18,85123A,121,0,9,112
2025-05-19,85123A,112,0,6,106
2025-05-20,85123A,106,0,7,99
2025-05-21,85123A,99,0,6,93
2025-05-22,85123A,93,0,6,87
2025-05-23,85123A,87,0,9,78
2025-05-24,85123A,78,0,7,71
2025-05-25,85123A,71,0,9,62
2025-05-26,85123A,62,0,7,55
2025-05-27,85123A,55,0,7,48
2025-05-28,85123A,48,0,6,42
2025-05-29,85123A,42,111,6,147
2025-05-30,85123A,147,0,7,140
2025-05-31,85123A,140,0,8,132
2025-06-01,85123A,132,0,9,123
2025-06-02,85123A,123,0,6,117
2025-06-03,85123A,117,0,6,111
2025-06-04,85123A,111,0,7,104
2025-06-05,85123A,104,0,9,95
2025-06-06,85123A,95,0,8,87
2025-06-07,85123A,87,0,10,77
2025-06-08,85123A,77,0,9,68
2025-06-09,85123A,68,0,6,62
2025-06-10,85123A,62,0,7,55
2025-06-11,85123A,55,0,7,48
2025-06-12,85123A,48,0,6,42
2025-06-13,85123A,42,114,8,148
2025-06-14,85123A,148,0,8,140
2025-06-15,85123A,140,0,9,131
2025-06-16,85123A,131,0,7,124
2025-06-17,85123A,124,0,6,118
2025-06-18,85123A,118,0,8,110
2025-06-19,85123A,110,0,8,102
2025-06-20,85123A,102,0,9,93
2025-06-21,85123A,93,0,8,85
2025-06-22,85123A,85,0,8,77
2025-06-23,85123A,77,0,6,71
2025-06-24,85123A,71,0,8,63
2025-06-25,85123A,63,0,7,56
2025-06-26,85123A,56,0,8,48
2025-06-27,85123A,48,0,7,41
2025-06-28,85123A,41,112,8,145
2025-06-29,85123A,145,0,9,136
2025-06-30,85123A,136,0,7,129
2025-07-01,85123A,129,0,7,122
2025-07-02,85123A,122,0,7,115
2025-07-03,85123A,115,0,8,107
2025-07-04,85123A,107,0,7,100
2025-07-05,85123A,100,0,10,90
2025-07-06,85123A,90,0,7,83
2025-07-07,85123A,83,0,5,78
2025-07-08,85123A,78,0,6,72
2025-07-09,85123A,72,0,8,64
2025-07-10,85123A,64,0,7,57
2025-07-11,85123A,57,0,9,48
2025-07-12,85123A,48,0,8,40
2025-07-13,85123A,40,121,8,153
2025-07-14,85123A,153,0,8,145
2025-07-15,85123A,145,0,8,137
2025-07-16,85123A,137,0,8,129
2025-07-17,85123A,129,0,8,121
2025-07-18,85123A,121,0,8,113
2025-07-19,85123A,113,0,9,104
