sku,name,launched_on,active,current_price,price_floor,available_stock
85123A,白色爱心悬挂烛台,2024-09-14,true,2.55,,20
71053,白色金属装饰灯笼,2024-09-14,true,3.39,,59
84406B,奶油色爱心衣架,2024-09-14,true,2.75,,53
84029G,英国旗针织热水袋,2024-09-14,true,3.39,,108
84029E,红色爱心针织热水袋,2024-09-14,true,3.39,,1134
22752,俄罗斯套娃收纳盒（7件套）,2024-09-14,true,7.65,,97
21730,磨砂玻璃星形烛台,2024-09-14,true,4.25,,155
22633,英国旗暖手袋,2024-09-14,true,1.85,,0
22632,红色波点暖手袋,2024-09-14,true,1.85,,614
84879,彩色小鸟装饰摆件,2024-09-14,true,1.69,,214
22745,迷你娃娃屋卧室套装,2024-09-14,true,2.1,,126
22748,迷你娃娃屋厨房套装,2024-09-14,true,2.1,,388
22749,夏洛特公主毛毡娃娃,2024-09-14,true,3.75,,405
22310,象牙白针织杯套,2024-09-14,true,1.65,,82
84969,彩色茶匙（6支装）,2024-09-14,true,4.25,,58
22623,复古拼图积木盒,2024-09-14,true,4.95,,360
