date,sku,units,selling_price,in_stock,promotion_id,opening_stock,received_units
2024-09-14,85123A,7,2.55,true,,206,0
2024-09-15,85123A,7,2.55,true,,199,0
2024-09-16,85123A,7,2.55,true,,192,0
2024-09-17,85123A,7,2.55,true,,185,0
2024-09-18,85123A,7,2.55,true,,178,0
2024-09-19,85123A,6,2.55,true,,171,0
2024-09-20,85123A,6,2.55,true,,165,0
2024-09-21,85123A,9,2.55,true,,159,0
2024-09-22,85123A,7,2.55,true,,150,0
2024-09-23,85123A,5,2.55,true,,143,0
2024-09-24,85123A,6,2.55,true,,138,0
2024-09-25,85123A,6,2.55,true,,132,0
2024-09-26,85123A,8,2.55,true,,126,0
2024-09-27,85123A,7,2.55,true,,118,0
2024-09-28,85123A,8,2.55,true,,111,0
2024-09-29,85123A,8,2.55,true,,103,0
2024-09-30,85123A,6,2.55,true,,95,0
2024-10-01,85123A,6,2.55,true,,89,0
2024-10-02,85123A,6,2.55,true,,83,0
2024-10-03,85123A,6,2.55,true,,77,0
2024-10-04,85123A,7,2.55,true,,71,0
2024-10-05,85123A,7,2.55,true,,64,0
2024-10-06,85123A,8,2.55,true,,57,0
2024-10-07,85123A,7,2.55,true,,49,0
2024-10-08,85123A,7,2.55,true,,42,112
2024-10-09,85123A,7,2.55,true,,147,0
2024-10-10,85123A,7,2.55,true,,140,0
2024-10-11,85123A,7,2.55,true,,133,0
2024-10-12,85123A,9,2.55,true,,126,0
2024-10-13,85123A,9,2.55,true,,117,0
2024-10-14,85123A,5,2.55,true,,108,0
2024-10-15,85123A,8,2.55,true,,103,0
2024-10-16,85123A,8,2.55,true,,95,0
2024-10-17,85123A,7,2.55,true,,87,0
2024-10-18,85123A,8,2.55,true,,80,0
2024-10-19,85123A,8,2.55,true,,72,0
2024-10-20,85123A,9,2.55,true,,64,0
2024-10-21,85123A,7,2.55,true,,55,0
2024-10-22,85123A,6,2.55,true,,48,0
2024-10-23,85123A,6,2.55,true,,42,107
2024-10-24,85123A,7,2.55,true,,143,0
2024-10-25,85123A,8,2.55,true,,136,0
2024-10-26,85123A,9,2.55,true,,128,0
2024-10-27,85123A,8,2.55,true,,119,0
2024-10-28,85123A,6,2.55,true,,111,0
2024-10-29,85123A,7,2.55,true,,105,0
2024-10-30,85123A,7,2.55,true,,98,0
2024-10-31,85123A,6,2.55,true,,91,0
2024-11-01,85123A,7,2.55,true,,85,0
2024-11-02,85123A,10,2.55,true,,78,0
2024-11-03,85123A,9,2.55,true,,68,0
2024-11-04,85123A,6,2.55,true,,59,0
2024-11-05,85123A,5,2.55,true,,53,0
2024-11-06,85123A,6,2.55,true,,48,0
2024-11-07,85123A,8,2.55,true,,42,115
2024-11-08,85123A,9,2.55,true,,149,0
2024-11-09,85123A,8,2.55,true,,140,0
2024-11-10,85123A,9,2.55,true,,132,0
2024-11-11,85123A,7,2.55,true,,123,0
2024-11-12,85123A,7,2.55,true,,116,0
2024-11-13,85123A,8,2.55,true,,109,0
2024-11-14,85123A,8,2.55,true,,101,0
2024-11-15,85123A,8,2.55,true,,93,0
2024-11-16,85123A,9,2.55,true,,85,0
2024-11-17,85123A,9,2.55,true,,76,0
